
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 4.63	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.174	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.5	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 4.34	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 5.03	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.5	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.0111	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.3	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 2.38	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.85	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.36	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.13	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.09	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 3.95	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 2.69	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 2.32	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 2.99	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 4.69	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.177	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.55	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 4.365	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 5.07	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.59	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.0115	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.35	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 2.55	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.9	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.38	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.19	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 0.11	
2024-01-11 22:00:15 INFO  ApiKantor:123 - pobrano dane waluty 4	
2024-01-11 22:00:15 INFO  Frontend:30 - Tworzenie interfejsu użytkownika dla strony: Kantor Agatka
2024-01-11 22:00:15 INFO  Frontend:47 - Tworzenie interfejsu użytkownika zakończone sukcesem.
2024-01-11 22:00:15 INFO  ApiKantor:130 - Pobieranie danych zakończone sukcesem.
2024-01-11 22:00:37 INFO  ApiKantor:30 - Rozpoczęcie pobierania danych z URL: https://kantor.live/kantory/krakow/876368-kantor-pr
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty AED	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty AUD	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty CAD	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty CHF	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty DKK	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty EUR	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty GBP	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty HUF	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty ILS	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty JPY	
2024-01-11 22:00:39 INFO  ApiKantor:123 - pobrano dane waluty NOK	
